Question ID,Question Text,KC ID,KC Name,KC Description,Distractors,Student Errors (if any),Item Category,Item,Option A,Option B,Option C,Option D,Diagnosis A,Diagnosis B,Diagnosis C,Diagnosis D,Priority
,,,,,,,Tweaking the code,"Rewrite the index-based loop as a cleaner for-each loop that visits every element.

for i in range(n):
    if levels[i] > average:
        above += 1
    elif levels[i] < average:
        below += 1",Replace with: for level in levels: if level > average: above += 1 elif level < average: below += 1 [correct],"Replace with: for i in range(1, n): if levels[i] > average: above += 1 elif levels[i] < average: below += 1",Replace with: for level in levels[:-1]: if level > average: above += 1 elif level < average: below += 1,None of the above,Demonstrates KC-01 mastery,Missing KC-01 — skips first element,Missing KC-01 — skips last element,No understanding — invalid syntax,
,,KC-02,Correct comparison operators (> and <),Use strictly greater than (>) to count levels above average and strictly less than (<) for levels below average. Using >= or <= incorrectly includes equal values.,"(a) >= instead of > — counts equal as above
(b) if level > average [correct]
(c) != average — cannot distinguish above from below
(d) <= instead of < — counts equal as below","Student uses >= instead of > causing equal levels to be counted as above
Student confuses > and < operator directions
Student uses != average thinking it identifies non-average values correctly",Fixing bug,"For levels=[2, 3, 1], average=2, code returns ""above"" (above=2, below=1) instead of ""equal"" (above=1, below=1). Select the minimal fix.

for level in levels:
    if level >= average:
        above += 1
    elif level < average:
        below += 1",Change >= to > [correct],Change >= to <=,Change >= to !=,None of the above,Demonstrates KC-02 mastery,Missing KC-02 — now counts equal as below instead,"Missing KC-02 — wrong logic, cannot distinguish above from below",Missing KC-02 — creates double counting for equal values,KC-02 – Fixing Bug
,,,,,,,Fill in the blanks,"Complete the conditions to count levels strictly above and strictly below the average.

for level in levels:
    if level ____ average:
        above += 1
    elif level ____ average:
        below += 1",>= and <=,> and < [correct],!= and ==,None of the above,Missing KC-02 — counts equal values in both counters,Demonstrates KC-02 mastery,"Missing KC-02 — inverted logic, counts equal as below",Missing KC-02 — equal values counted in below via <=,
,,,,,,,Reading question,"For levels=[5, 2, 2], average=2, what is above_count after the loop using strictly > and <?",0,1 [correct],2,None of the above,Missing KC-02 — confuses > with >=,Demonstrates KC-02 mastery,Missing KC-02 — counts equal values as above,No understanding — counts all elements,
,,,,,,,Debugging the question,"For levels=[3, 3, 3], average=3, code returns ""above"" (above=3, below=0) instead of ""equal"". What is the root cause?

for level in levels:
    if level >= average:
        above += 1
    elif level < average:
        below += 1",The loop iterates the wrong number of times,">= counts level==average as above, inflating above_count with all three equal values [correct]",below counter is never incremented,None of the above,Missing KC-02 — misidentifies the issue,Demonstrates KC-02 mastery,Missing KC-02 — partially right observation but misses root cause,No understanding — == would never count anything as above,
,,,,,,,Tweaking the code,"Change only the comparison operators so equal values are excluded from both counts.

for level in levels:
    if level >= average:
        above += 1
    elif level <= average:
        below += 1",Change >= to > and <= to < [correct],Change only >= to >,Change only <= to <,None of the above,Demonstrates KC-02 mastery,Missing KC-02 — equal still counted as below via <=,Missing KC-02 — equal still counted as above via >=,Missing KC-02 — verbose but same effect; misses conceptual root,
,,KC-03,Dual counter initialization and increment,"Initialize both above_count and below_count to 0 before the loop, and increment only the appropriate counter inside each conditional branch.","(a) above_count = 1, below_count = 1 — wrong initialization
(b) above_count = 0, below_count = 0 [correct]
(c) above_count = below_count = -1 — wrong initialization
(d) Single diff counter (diff += 1 above, diff -= 1 below) — loses count information","Student initializes counter to 1 instead of 0
Student uses a single difference counter instead of two separate counters
Student increments both counters on every iteration",Fixing bug,"For levels=[3, 1], average=2, code returns ""equal"" with above=2, below=2 but expected above=1, below=1 (counts are inflated). Select the fix.

def compareRainfallLevels(n, levels, average):
    above = 1
    below = 1
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
    ...",Change above = 1 and below = 1 to above = 0 and below = 0 [correct],Change only above = 1 to above = 0,Change only below = 1 to below = 0,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — below still off by one,Missing KC-03 — above still off by one,Missing KC-03 — works as a patch but wrong conceptual approach,KC-03 – Fixing Bug
,,,,,,,Fill in the blanks,"Initialize both counters correctly before the loop begins.

____ = 0
____ = 0
for level in levels:
    if level > average:
        above += 1
    elif level < average:
        below += 1",count and total,above and below [correct],total and diff,None of the above,Missing KC-03 — misnamed variables (code references above/below),Demonstrates KC-03 mastery,Missing KC-03 — diff loses directional information,Missing KC-03 — wrong initialization value,
,,,,,,,Reading question,"After processing levels=[3, 1, 2], average=2 with above=0 and below=0 initialized, what are the final values?","above=1, below=1 [correct]","above=2, below=1","above=1, below=2",None of the above,Demonstrates KC-03 mastery,Missing KC-03 — counts equal value (2) as above,Missing KC-03 — counts equal value (2) as below,Missing KC-03 — counts equal value in both counters,
,,,,,,,Debugging the question,"For levels=[3], average=2, code reports above=2, below=0 instead of expected above=1, below=0. What is wrong?

above = 1
below = 0
for level in levels:
    if level > average:
        above += 1",The comparison operator is wrong,"above is initialized to 1 instead of 0, giving an extra phantom count before the loop starts [correct]",The loop iterates twice,None of the above,Missing KC-03 — misidentifies the issue,Demonstrates KC-03 mastery,No understanding,Missing KC-03 — irrelevant to this bug,
,,,,,,,Tweaking the code,"A student used a single difference counter. Refactor to use two separate counters tracking above and below independently.

def compareRainfallLevels(n, levels, average):
    diff = 0
    for level in levels:
        if level > average:
            diff += 1
        elif level < average:
            diff -= 1
    if diff > 0:
        return ""above""
    elif diff < 0:
        return ""below""
    else:
        return ""equal""","Replace diff with two counters: above=0, below=0; increment above for above levels, below for below levels; compare above vs below directly [correct]",Rename diff to count and keep the same logic,Add abs(diff) check before the if statements,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — still single counter,No understanding — abs(diff) breaks directional logic,"Missing KC-03 — still single counter, just scaled",
,,KC-04,Equality exclusion (not counted),Levels equal to the average must not be counted in either above_count or below_count. Use if/elif without any else branch that increments a counter.,"(a) else: above += 1 — incorrectly counts equal as above
(b) else: below += 1 — incorrectly counts equal as below
(c) else: equal_count += 1 — adds unnecessary third counter
(d) Only if/elif with no counter-incrementing else [correct]","Student adds else: above += 1 treating equal as above
Student adds else: equal_count += 1 unnecessarily
Student counts equal values in both counters simultaneously",Fixing bug,"For levels=[2, 3, 1], average=2, code returns ""above"" (above=2, below=1) instead of ""equal"" (above=1, below=1). Select the minimal fix.

for level in levels:
    if level > average:
        above += 1
    elif level < average:
        below += 1
    else:
        above += 1",Remove the else: above += 1 block entirely [correct],Change else: above += 1 to else: below += 1,Change else: above += 1 to else: equal_count += 1,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — now counts equal as below instead,Missing KC-04 — adds unnecessary third counter; does not affect return but wrong concept,Missing KC-04 — double counts equal values in both counters,KC-04 – Fixing Bug
,,,,,,,Fill in the blanks,"Complete the conditional structure so equal values are NOT counted in either counter.

for level in levels:
    if level > average:
        above += 1
    ________________",else: below += 1,elif level < average: below += 1 [correct],else: above += 1,None of the above,Missing KC-04 — equal values counted as below,Demonstrates KC-04 mastery,Missing KC-04 — equal values counted as above,Missing KC-04 — explicitly counts equal values as below,
,,,,,,,Reading question,"For levels=[2, 2, 2], average=2, what should above and below be after the loop (equal values are not counted)?","above=3, below=0","above=0, below=3","above=0, below=0 [correct]",None of the above,Missing KC-04 — counts equal as above,Missing KC-04 — counts equal as below,Demonstrates KC-04 mastery,Missing KC-04 — counts equal in both counters,
,,,,,,,Debugging the question,"For levels=[2], average=2, code returns ""below"" (below=1, above=0) instead of ""equal"". What is the root cause?

for level in levels:
    if level > average:
        above += 1
    else:
        below += 1",The comparison operator should be >=,"else catches all non-above cases including level==average, so the equal value is incorrectly counted as below [correct]",The counter is initialized incorrectly,None of the above,Missing KC-04 — wrong fix direction,Demonstrates KC-04 mastery,Missing KC-04 — misidentifies the issue,Missing KC-04 — irrelevant,
,,,,,,,Tweaking the code,"Remove only the part that incorrectly counts equal values. Keep above and below counting correct.

for level in levels:
    if level > average:
        above += 1
    elif level < average:
        below += 1
    else:
        above += 1
        below += 1",Remove the else block entirely [correct],Change else: to elif level == average:,Change else: above += 1; below += 1 to elif level >= average: above += 1,None of the above,Demonstrates KC-04 mastery,"Missing KC-04 — still explicitly counts equal, just labels it",Missing KC-04 — still counts equal as above via >=,No understanding — decrementing is semantically wrong,
,,KC-05,Three-way conditional return,"After the loop, compare above and below: return 'above' if above > below, return 'below' if below > above, return 'equal' otherwise. All three cases must be explicitly covered.","(a) if/else only — misses equal case
(b) Correct if/elif/else [correct]
(c) Missing else — function returns None for equal
(d) Compares in wrong order — returns wrong string","Student omits the else clause and function returns None when counts are equal
Student uses if/else only, treating non-above as below (misses equal)
Student compares counters in wrong order",Fixing bug,"For a case where above=3 and below=3, function returns None instead of ""equal"". Select the fix.

if above > below:
    return ""above""
elif below > above:
    return ""below""","Add else: return ""equal"" [correct]","Add elif above == below: return ""above""",Change elif to else,None of the above,Demonstrates KC-05 mastery,"Missing KC-05 — ""equal"" case returns ""above"" instead","Missing KC-05 — else now combines below > above and equal, returning ""below"" for equal",Missing KC-05 — explicitly returns None for equal case,"KC-05 – Code Tweaking
"
,,,,,,,Fill in the blanks,"Complete the keywords so all three cases are handled correctly.

if above > below:
    return ""above""
____ below > above:
    return ""below""
____:
    return ""equal""",else and elif,elif and else [correct],elif and elif,None of the above,"Missing KC-05 — syntax error, else cannot have a condition",Demonstrates KC-05 mastery,"Missing KC-05 — no final else, returns None for equal",No understanding — invalid Python keywords in this context,
,,,,,,,Reading question,"If above_count=5 and below_count=5 after the loop, what should the function return?","""above""","""below""","""equal"" [correct]",None of the above,Missing KC-05 — wrong comparison result,Missing KC-05 — wrong comparison result,Demonstrates KC-05 mastery,Missing KC-05 — forgot the else clause,
,,,,,,,Debugging the question,"For a case where above=3 and below=3, the function returns None. What is the root cause?

if above > below:
    return ""above""
elif below > above:
    return ""below""",The comparison logic is inverted,"There is no else clause to handle the equal case, so the function falls off the end returning None [correct]",The counter logic accumulated wrong values,None of the above,Missing KC-05 — misidentifies the issue,Demonstrates KC-05 mastery,Missing KC-05 — wrong layer of the problem,No understanding,
,,,,,,,Tweaking the code,"Add only what is needed so the function handles all possible outcomes.

if above > below:
    return ""above""
if below > above:
    return ""below""","Add else: return ""equal"" after the second if [correct]","Add elif above == below: return ""above"" after second if",Change the second if to else,None of the above,Demonstrates KC-05 mastery,"Missing KC-05 — ""equal"" case returns ""above""","Missing KC-05 — else combines below > above and equal, always returns ""below"" for non-above","Missing KC-05 — returns ""equal"" immediately before any comparison runs",
,,KC-06,Return string literals correctly,"The function must return exact lowercase string literals ""above"", ""below"", or ""equal"". Using print() causes the function to return None; wrong capitalization or returning the counter variable also causes failures.","(a) return ""above"" [correct]
(b) print(""above"") — displays but returns None
(c) return ""Above"" — wrong capitalization
(d) return above — returns integer count, not string","Student uses print instead of return causing None to be returned to grader
Student returns the counter variable (integer) instead of the string
Student uses wrong capitalization like 'Above' or 'ABOVE'",Fixing bug,"This function fails all grader tests. Select the minimal fix.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
    if above > below:
        print(""above"")
    elif below > above:
        print(""below"")
    else:
        print(""equal"")",Replace all print() calls with return [correct],Add return None at the end of the function,"Replace print(""above"") with return print(""above"")",None of the above,Demonstrates KC-06 mastery,Missing KC-06 — still returns None explicitly,Missing KC-06 — return print() returns None,Missing KC-06 — flushing has no effect on return value,"KC-06 – Debugging
"
,,,,,,,Fill in the blanks,"Complete the statements so the grader receives the correct string value.

if above > below:
    ____ ""above""
elif below > above:
    ____ ""below""
else:
    ____ ""equal""",print,return [correct],yield,None of the above,Missing KC-06 — prints to screen but returns None,Demonstrates KC-06 mastery,"Missing KC-06 — returns a generator object, not a string",No understanding — not a valid Python keyword,
,,,,,,,Reading question,"What value does the grader receive if the function body only contains print(""equal"") with no return statement?","""equal""",0,None [correct],None of the above,Missing KC-06 — confuses print output with return value,Missing KC-06 — no basis for this answer,Demonstrates KC-06 mastery,No understanding,
,,,,,,,Debugging the question,"Function prints the correct string on screen but fails all grader tests. Why?

if above > below:
    print(""above"")
elif below > above:
    print(""below"")
else:
    print(""equal"")",The comparison operators are wrong,print() displays output but does not return a value — the grader reads the return value which is None [correct],Should use sys.stdout.write instead of print,None of the above,Missing KC-06 — misidentifies the issue,Demonstrates KC-06 mastery,No understanding,No understanding,
,,,,,,,Tweaking the code,"Modify the function so the grader can read the correct result from the return value.

if above > below:
    print(""above"")
elif below > above:
    print(""below"")
else:
    print(""equal"")","Replace each print(""x"") with return ""x"" [correct]",Add return None after all print statements,"Change each print(""x"") to return print(""x"")",None of the above,Demonstrates KC-06 mastery,Missing KC-06 — still returns None,"Missing KC-06 — return print() evaluates print (displays), then returns None",No understanding — lambda wrapping does not change return value,
,,KC-07,No input reading inside function,"The function receives n, levels, and average as parameters. Do not call input() or read from stdin inside the function — use only the parameters passed by the caller.","(a) Calls n = int(input()) inside function — violates parameter contract
(b) Uses the n parameter directly [correct]
(c) Uses len(levels) instead of n — redundant but works
(d) Hardcodes n = 6 — wrong for other inputs","Student calls input() inside function to re-read n or average
Student hardcodes values instead of using parameters
Student reads levels from stdin instead of using the parameter",Fixing bug,"This function hangs when called as compareRainfallLevels(6, [1,3,0,-1,4,3], 2). Select the fix.

def compareRainfallLevels(n, levels, average):
    n = int(input())
    levels = list(map(int, input().split()))
    average = int(input())
    above = 0
    below = 0
    ...",Remove all three input() lines and use the parameters directly [correct],"Keep input() only for n, remove the other two",Move all input() calls before the function definition,None of the above,Demonstrates KC-07 mastery,Missing KC-07 — still partially reads from stdin,Missing KC-07 — moves problem but does not fix function contract,Missing KC-07 — hides the error but does not fix the logic,KC-07 – Fixing Bug
,,,,,,,Fill in the blanks,"Complete the function header so it uses parameters, not stdin.

def compareRainfallLevels(____, ____, ____):
    above = 0
    below = 0
    for level in levels:
        ...","n=int(input()), levels=input().split(), average=int(input())","n, levels, average [correct]","input(), input(), input()",None of the above,Missing KC-07 — reads from stdin in parameter defaults,Demonstrates KC-07 mastery,No understanding — input() is not a valid parameter name,"Missing KC-07 — no parameters, function cannot access any data",
,,,,,,,Reading question,"Where should n, levels, and average come from when executing inside compareRainfallLevels?",Read from stdin using input(),Read from a file using open(),From the function's parameters as passed by the caller [correct],None of the above,Missing KC-07 — incorrect source,Missing KC-07 — incorrect source,Demonstrates KC-07 mastery,Missing KC-07 — global state is fragile and violates function contract,
,,,,,,,Debugging the question,"When called as compareRainfallLevels(6, [1,3,0,-1,4,3], 2), the function hangs waiting for keyboard input. What is the root cause?

def compareRainfallLevels(n, levels, average):
    n = int(input())",The list format is wrong,"input() inside the function pauses and waits for stdin, but the caller already provided all values as arguments [correct]",The function has too many parameters,None of the above,Missing KC-07 — misidentifies the issue,Demonstrates KC-07 mastery,No understanding,No understanding,
,,,,,,,Tweaking the code,"Remove all input() calls and make the function use only its parameters.

def compareRainfallLevels(n, levels, average):
    n = int(input())
    average = int(input())
    above = 0
    below = 0
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
    ...",Delete the n = int(input()) and average = int(input()) lines [correct],Change input() to raw_input(),Add a default value n=0 to the parameter list,None of the above,Demonstrates KC-07 mastery,Missing KC-07 — raw_input() still reads from stdin (Python 2 only),Missing KC-07 — default value does not remove input() call inside function,"Missing KC-07 — still reads from stdin, just at a different point",
,,KC-08,O(n) efficiency — single pass,A single pass through levels counting both above and below simultaneously is sufficient. n can be up to 10^5; nested loops or multiple separate passes are wasteful.,"(a) Nested loop comparing each level against all others — O(n^2)
(b) Single pass with two counters — O(n) [correct]
(c) Sort first then count — O(n log n), unnecessary
(d) Two separate passes (one for above, one for below) — wasteful","Student sorts levels before iterating — adds O(n log n) overhead
Student uses nested loops — TLE on 10^5 inputs
Student makes two separate passes through the array",Fixing bug,"This code is correct but times out on n=10^5. Select the minimal fix.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    for i in range(n):
        for j in range(n):
            if levels[i] > average:
                above += 1
    ...",Replace nested loops with a single loop counting above and below in one pass [correct],Change inner loop to range(1),Add a break inside the inner loop after incrementing above,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — reduces but does not eliminate the inner loop,"Missing KC-08 — partial improvement, inner loop still runs for non-above elements",Missing KC-08 — halves iterations but still O(n^2) structure,KC-08 – Debugging
,,,,,,,Fill in the blanks,"Complete the efficient single-pass solution for n up to 10^5.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    ____
        if level > average:
            above += 1
        elif level < average:
            below += 1
    ...",for level in levels: for _ in range(n):,for level in levels: [correct],for i in range(n): for level in levels:,None of the above,Missing KC-08 — pointless inner loop makes it O(n^2),Demonstrates KC-08 mastery,Missing KC-08 — nested loop is O(n^2),Missing KC-08 — pop() destroys the input array,
,,,,,,,Reading question,"For n up to 10^5, what is the expected time complexity of the intended single-pass solution?",O(1),O(log n),O(n) [correct],None of the above,No understanding,Missing KC-08 — wrong complexity class,Demonstrates KC-08 mastery,"Missing KC-08 — nested loop complexity, too slow",
,,,,,,,Debugging the question,"This code is logically correct but TLEs on n=10^5. What is the root cause?

for level in levels:
    for other in levels:
        if level > average:
            above += 1",The comparison operator is wrong,"The nested loop runs n x n = 10^10 iterations — each element only needs one comparison with average, not once per other element [correct]",Should use a while loop instead of for,None of the above,Missing KC-08 — misidentifies the issue,Demonstrates KC-08 mastery,No understanding,Missing KC-08 — wrong layer of the problem,
,,,,,,,Tweaking the code,"The solution below makes two separate passes through levels. Merge them into a single pass.

def compareRainfallLevels(n, levels, average):
    above = sum(1 for level in levels if level > average)
    below = sum(1 for level in levels if level < average)
    if above > below:
        return ""above""
    elif below > above:
        return ""below""
    else:
        return ""equal""",Replace both sum lines with one loop: above=0; below=0; for level in levels: if level>average: above+=1 elif level<average: below+=1 [correct],Combine into: total = sum(1 for level in levels if level != average),Add levels = sorted(levels) before the sum lines,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — total loses directional info (cannot distinguish above from below),"Missing KC-08 — adds unnecessary O(n log n) sort, still two passes","Missing KC-08 — still two passes, just different syntax",
,,KC-09,Edge case identification,"Identify and correctly handle edge cases: all levels equal average (both counts=0 → return 'equal'), n=1, all levels above or below, and negative values. The general loop handles all these without special guards.","(a) Add guard if n==0: return 'equal' — constraint guarantees n>=1, unnecessary
(b) Add guard if all(l==average...): return 'equal' — loop already handles this
(c) Add separate logic for negative levels — comparison operators work for negatives
(d) Recognize the general loop handles all valid edge cases correctly [correct]","Student adds unnecessary guard for n=0 when constraint says n>=1
Student adds redundant all-equal check before the loop
Student thinks negative numbers need special handling beyond the standard comparison",Fixing bug,"For levels=[5, 5, 5], average=5, code returns ""above"" instead of ""equal"". Select the fix.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
    if above >= below:
        return ""above""
    else:
        return ""below""","Change to if above > below: return ""above"" elif below > above: return ""below"" else: return ""equal"" [correct]","Add a special guard: if all(l == average for l in levels): return ""equal""",Initialize above = -1 before the loop,None of the above,Demonstrates KC-09 mastery,Missing KC-09 — adds redundant check; the corrected three-way conditional already handles this,"Missing KC-09 — wrong fix, changes counter meaning","Missing KC-09 — skips data, makes problem worse","KC-09 – Code Tweaking
"
,,,,,,,Fill in the blanks,"For levels=[average, average, average] (all elements equal to average), after the loop: above = ____, below = ____, so the function returns ____.","n, 0, and 'above'","0, 0, and 'equal' [correct]","0, n, and 'below'",None of the above,Missing KC-09 — equal values incorrectly counted as above,Demonstrates KC-09 mastery,Missing KC-09 — equal values incorrectly counted as below,Missing KC-09 — equal values counted in both counters,
,,,,,,,Reading question,"For levels=[-3, -1, -5], average=-3, what does the function return? (-3 equals average; -1 > -3; -5 < -3)","""above""","""below""","""equal"" [correct]",None of the above,Missing KC-09 — misreads negative comparison,Missing KC-09 — misreads negative comparison,Demonstrates KC-09 mastery,Missing KC-09 — comparison operators work correctly for all integers,
,,,,,,,Debugging the question,"For levels=[7], n=1, average=7, a student added a guard that returns ""above"" for single-element inputs. Code returns ""above"" instead of ""equal"". Identify the incorrect guard.

def compareRainfallLevels(n, levels, average):
    if n == 1:
        return ""above""
    ...",The guard threshold should be n < 1,"The guard is completely wrong — a single element equal to average should return ""equal"", processed by the general loop [correct]","Should return ""below"" instead of ""above"" in the guard",None of the above,Missing KC-09 — partial; changes threshold but guard is still wrong concept,Demonstrates KC-09 mastery,"Missing KC-09 — same wrong guard, different string",Missing KC-09 — widens the wrong guard,
,,,,,,,Tweaking the code,"Remove unnecessary edge case guards. The general loop already handles all valid inputs correctly.

def compareRainfallLevels(n, levels, average):
    if n == 0:
        return 'equal'
    if all(l == average for l in levels):
        return 'equal'
    above = 0
    below = 0
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
    ...","Remove both guards — the loop produces above=0, below=0 for all-equal inputs and n>=1 is guaranteed by constraints [correct]",Keep the all() check but remove the n==0 guard,Keep the n==0 guard but remove the all() check,None of the above,Demonstrates KC-09 mastery,Missing KC-09 — all() check is still redundant,Missing KC-09 — n==0 guard is still unnecessary (n>=1 guaranteed),Missing KC-09 — new guard is still wrong for single elements,
,,KC-10,How to approach the question,"Recognize this as a single-pass counting problem: iterate through levels, compare each element against the given average parameter (not a computed mean), count above and below separately, then compare counts to return the result string.","(a) Sort levels and use index-based logic — unnecessary, order does not matter
(b) Compute mean of levels and compare with average parameter — average is already given
(c) Nested loops comparing every pair — wrong and O(n^2)
(d) One pass comparing each level against the given average, counting above and below [correct]","Student sorts levels thinking order affects counting
Student computes average from levels using sum/n instead of using the given average parameter
Student uses nested loop comparing levels against each other instead of against average",Fixing bug,"For levels=[4, 4, 4], average=3, code returns ""equal"" instead of ""above"". The student computed the average instead of using the parameter. Select the fix.

def compareRainfallLevels(n, levels, average):
    computed = sum(levels) / n
    above = sum(1 for l in levels if l > computed)
    below = sum(1 for l in levels if l < computed)",Replace computed with the given average parameter in both comparisons [correct],Change sum(levels) / n to sum(levels) // n (integer division),Add round() to the computed value,None of the above,Demonstrates KC-10 mastery,Missing KC-10 — still computing average from levels,"Missing KC-10 — still computing from levels, rounding does not fix wrong approach",Missing KC-10 — still computing from levels,KC-10 – Reading Question
,,,,,,,Fill in the blanks,"Complete the blank with the correct value each level should be compared against.

for level in levels:
    if level > ____:
        above += 1
    elif level < ____:
        below += 1",sum(levels) / n,average [correct],levels[0],None of the above,Missing KC-10 — computes average from data instead of using the parameter,Demonstrates KC-10 mastery,"Missing KC-10 — compares against first element, not the given average","Missing KC-10 — compares against count, not the average value",
,,,,,,,Reading question,Which statement correctly describes the intended approach for this problem?,Sort levels and use the median value as the comparison threshold,Compute the arithmetic mean of levels and compare it to the average parameter,"Iterate through levels once, count how many are strictly greater and strictly less than the given average parameter, then compare those counts [correct]",None of the above,Missing KC-10 — sorting and median are irrelevant to this problem,"Missing KC-10 — average is a given parameter, not to be recomputed",Demonstrates KC-10 mastery,Missing KC-10 — nested comparison is wrong and O(n^2),
,,,,,,,Debugging the question,"For levels=[1,3,0,-1,4,3], n=6, average=2, code returns wrong result. Identify the incorrect approach.

def compareRainfallLevels(n, levels, average):
    levels.sort()
    above = sum(1 for l in levels if l > average)
    below = n - above",levels.sort() is the only issue,"below = n - above incorrectly includes equal values in below_count — equal values must be excluded from both, so below must be counted separately with l < average [correct]",sum() should be replaced with a for loop,None of the above,Missing KC-10 — sort is unnecessary but below = n - above is the more critical bug,Demonstrates KC-10 mastery,"Missing KC-10 — sum() works fine, wrong diagnosis",Missing KC-10 — average is used correctly in the comparison,
,,,,,,,Tweaking the code,"The approach below builds two full lists in memory with two passes. Simplify to the direct single-pass counting strategy.

def compareRainfallLevels(n, levels, average):
    above = len([l for l in levels if l > average])
    below = len([l for l in levels if l < average])
    if above > below: return 'above'
    elif below > above: return 'below'
    else: return 'equal'",Replace both len([...]) lines with a single loop: above=0; below=0; for level in levels: if level>average: above+=1 elif level<average: below+=1 [correct],Replace len([...]) with count([...]),Add levels = sorted(levels) before the list comprehensions,None of the above,Demonstrates KC-10 mastery,Missing KC-10 — count() does not work this way in Python,Missing KC-10 — sort is unnecessary overhead,"Missing KC-10 — total loses directional info, cannot distinguish above from below",
,,KC-11,Breaking down the question,"Decompose the problem into ordered sub-tasks: (1) initialize counters, (2) loop through levels and count above/below, (3) compare counters after the loop, (4) return the correct string. Steps must be performed in this order — comparing inside the loop or initializing after the loop are common ordering mistakes.","(a) Initialize counters after the loop — always reads 0
(b) Place the return/compare logic inside the loop — premature decision after first element
(c) Skip initialization, go straight to looping — NameError
(d) Correct order: initialize → loop+count → compare → return [correct]","Student puts the return/compare block inside the loop, returning after the first element
Student initializes counters after the loop, so they are always 0 at comparison time
Student skips the counter initialization step entirely",Fixing bug,"For levels=[1, 3, 0, -1, 4, 3], average=2, code returns ""below"" based only on the first element (1 < 2). Select the fix.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
        if above > below:
            return ""above""
        elif below > above:
            return ""below""
        else:
            return ""equal""",Move the if/elif/else return block outside (after) the for loop [correct],Add a break statement before each return,Change the for loop to iterate only range(1),None of the above,Demonstrates KC-11 mastery,"Missing KC-11 — break stops the loop but return is still inside, same premature result",Missing KC-11 — still returns after one element,Missing KC-11 — continue skips to next iteration but return is still reached,KC-11 – Fill in the Blanks
,,,,,,,Fill in the blanks,"Select the correct order of sub-tasks for implementing this function.

___ A. Return 'above', 'below', or 'equal' based on counter comparison
___ B. Initialize above=0 and below=0
___ C. Compare above vs below (after the loop)
___ D. Loop through each level and increment the correct counter","A=1, B=2, C=3, D=4","B=1, D=2, C=3, A=4 [correct]","D=1, B=2, C=3, A=4",None of the above,Missing KC-11 — returns before any counting is done,Demonstrates KC-11 mastery,"Missing KC-11 — loops without initialized counters, causes NameError","Missing KC-11 — compares before counting, always compares 0 vs 0",
,,,,,,,Reading question,At which point in the algorithm should the above and below counts be compared to decide the return value?,Before the loop starts,"Inside the loop, after each element is processed",After the loop has finished processing all elements [correct],None of the above,Missing KC-11 — counters are 0 before the loop,Missing KC-11 — premature comparison leads to result based on first element only,Demonstrates KC-11 mastery,Missing KC-11 — comparison position does not depend on n,
,,,,,,,Debugging the question,"For levels=[3, 1, 2], average=2, above and below are both 0 at the comparison step despite elements being processed. What is wrong?

def compareRainfallLevels(n, levels, average):
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
    above = 0
    below = 0
    if above > below:
        return 'above'
    ...",The comparison operators are wrong,"above and below are initialized to 0 after the loop, resetting accumulated counts — they must be initialized before the loop [correct]",The loop iterates the wrong number of times,None of the above,Missing KC-11 — misidentifies the issue,Demonstrates KC-11 mastery,Missing KC-11 — wrong layer,"Missing KC-11 — return statements exist, wrong diagnosis",
,,,,,,,Tweaking the code,"The counter comparison is placed inside the loop. Move it to the correct position without changing any other logic.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    for level in levels:
        if level > average:
            above += 1
        elif level < average:
            below += 1
        if above > below:       # <-- currently inside loop
            return ""above""
        elif below > above:
            return ""below""
        else:
            return ""equal""",Dedent the if/elif/else block by one level so it runs after the for loop completes [correct],Add a flag variable inside the loop and check it after,Change the for loop to a while loop with a break condition,None of the above,Demonstrates KC-11 mastery,Missing KC-11 — adds complexity; flag approach still defers to same logic,Missing KC-11 — while loop change does not fix placement issue,Missing KC-11 — swapping still leaves comparison inside the loop,
